Day,Breakfast,Lunch,Dinner,Mood,Cycle_Phase,Dietary_Advice_Breakfast,Dietary_Advice_Lunch,Dietary_Advice_Dinner
1,Akara (bean cakes),Jollof Rice,Pepper Soup,Variable,"The menstrual phase starts on the first day of menstruation and lasts till the 5th day. The body sheds the uterine lining, leading to menstrual bleeding.","High in protein and fiber, good for energy.","Rich in carbohydrates and vegetables, provides energy.","Light and soothing, good for digestion."
2,Moi Moi (steamed bean pudding),Egusi Soup with pounded yam,Nkwobi (spicy cow foot),Variable,"The menstrual phase starts on the first day of menstruation and lasts till the 5th day. The body sheds the uterine lining, leading to menstrual bleeding.",Rich in protein and low in cholesterol.,"High in protein, vitamins, and carbohydrates.","High in protein, contains collagen."
3,Ogi (fermented cereal pudding),Efo Riro (spinach stew),Grilled Fish with plantains,Variable,"The menstrual phase starts on the first day of menstruation and lasts till the 5th day. The body sheds the uterine lining, leading to menstrual bleeding.","Easy to digest, rich in carbohydrates.","Rich in vitamins and minerals, low in calories.",Rich in omega-3 fatty acids and carbohydrates.
4,Yam and Egg Sauce,Ofada Rice and Ayamase,Okra Soup with Eba,Variable,"The menstrual phase starts on the first day of menstruation and lasts till the 5th day. The body sheds the uterine lining, leading to menstrual bleeding.","Good source of energy, provides protein and vitamins.",Good source of fiber and protein.,"Rich in fiber, vitamins, and minerals."
5,Pap and Akara,Amala and Ewedu Soup,Suya and Salad,Variable,"The menstrual phase starts on the first day of menstruation and lasts till the 5th day. The body sheds the uterine lining, leading to menstrual bleeding.","Combination of carbohydrates and protein, good for energy.","Rich in fiber, low in fat, good for digestion.","High in protein, includes fresh vegetables."
6,Plantain and Egg,Beans and Plantain,Pounded Yam and Egusi Soup,Variable,The follicular phase starts at the end of the menstrual phase and lasts until ovulation (around day 14). This phase is characterized by the growth of follicles in the ovaries.,"Rich in carbohydrates and protein, contains essential vitamins.","High in protein and fiber, good energy source.",High in carbohydrates and protein.
7,Bread and Tea,Fried Rice and Chicken,Coconut Rice and Shrimp,Variable,The follicular phase starts at the end of the menstrual phase and lasts until ovulation (around day 14). This phase is characterized by the growth of follicles in the ovaries.,"Light meal, provides carbohydrates and hydration.","Balanced meal with protein, carbohydrates, and vitamins.","Rich in healthy fats, protein, and carbohydrates."
8,Akara (bean cakes),Jollof Rice,Pepper Soup,Variable,The follicular phase starts at the end of the menstrual phase and lasts until ovulation (around day 14). This phase is characterized by the growth of follicles in the ovaries.,"High in protein and fiber, good for energy.","Rich in carbohydrates and vegetables, provides energy.","Light and soothing, good for digestion."
9,Moi Moi (steamed bean pudding),Egusi Soup with pounded yam,Nkwobi (spicy cow foot),Variable,The follicular phase starts at the end of the menstrual phase and lasts until ovulation (around day 14). This phase is characterized by the growth of follicles in the ovaries.,Rich in protein and low in cholesterol.,"High in protein, vitamins, and carbohydrates.","High in protein, contains collagen."
10,Ogi (fermented cereal pudding),Efo Riro (spinach stew),Grilled Fish with plantains,Variable,The follicular phase starts at the end of the menstrual phase and lasts until ovulation (around day 14). This phase is characterized by the growth of follicles in the ovaries.,"Easy to digest, rich in carbohydrates.","Rich in vitamins and minerals, low in calories.",Rich in omega-3 fatty acids and carbohydrates.
